user_address,amount_eth,presale_alloc_in_rooms
0x3Dc419253352b9e0DBFC047786D7fF3197624cC4,150000000000000000,153831263768699312000000
0x470A54cA2Ae651e326a92C8D2997A9B0a47eB7F7,240000000000000000,246130022029918899200000
0xD0B4bB489FA3577e26d1eB1E2853Bc10f3614884,250000000000000000,256385439614498852800000
0xF1fe543b7deE936D6a87A0691fd2166d68D7a5Aa,37000000000000000,37945045062945830400000
0x86d94b039bEf148342F54d5DF24B1D0328EE8B88,300000000000000000,307662527537398623200000
0x0b9f28A018D319fd33F15134318968E1ea0446B0,47000000000000000,48200462647525784000000
0x207bfaD97cA2Bf071cB07022b3E44C68587e9Ca9,350000000000000000,358939615460298394400000
0x061600d3515b387D562504Eed5a1a485f9AE0EE4,100000000000000000,102554175845799540800000
0x352F8a0bd1F17E13980706EA4F11D1E6C9282c42,100000000000000000,102554175845799540800000
0x70dD549939D5be8681Ccda0A91D88f347634Bd02,28000000000000000,28715169236823871200000
0x6DC1E2C93EA260b8543fc4cF3b4072F6d0Df0D9a,150000000000000000,153831263768699312000000
0x8bc52890Bb681C04C093E23D3AEAE4F44EeB0Bdc,79000000000000000,81017798918181637600000
0x9a799A68b63C72Ce9A944A2eabDb6509F2227066,100000000000000000,102554175845799540800000
0x67fEcd1Bd5B84698d93b3f603e530616A1645E4e,500000000000000000,512770879228997705600000
0x918d77C6DE0Bf3047754D00e8F99E90FBB28c54e,500000000000000000,512770879228997705600000
0xD9F29f54EaC8241312D26fA0A16a817503328c33,25000000000000000,25638543961449885600000
0x5b63124006840060898F47A21eB82c019289eAB5,450000000000000000,461493791306097935200000
0x5Da110d40090410730710a685D7AdB5C6fb08423,30000000000000000,30766252753739862400000
0xE0091D2Df7a59D5b2dE74161e15C4F82ff168864,400000000000000000,410216703383198164800000
0x39795687C39524a45aC6c2B36274c79EF2Fd3C13,440000000000000000,451238373721517981600000
0xAdfa6eF1D6223225FEb30478601f69105010492E,30000000000000000,30766252753739862400000
0x09800064d8321571e657C507e62cA92faf5c039B,20000000000000000,20510835169159908000000
0x183f147159D10b88f4fB27A00Bb5A491E16d69bb,20000000000000000,20510835169159908000000
0x582eE52dfEA6B98b8d8cb707B8c767e5A2295080,50000000000000000,51277087922899770400000
0x10C3a32aEb62aBFdC8F2Cf6721348cD5D04f5Fa1,30000000000000000,30766252753739862400000
0x5768fEE0a0b0A8EB28C4AE5c0eB39C50f084064C,20000000000000000,20510835169159908000000
0x5A6da46839Fe767C8a481a735Af978baa5576944,98000000000000000,100503092328883550400000
0x803DE226D9Cc88E2f60907CBb92e77dDA2953033,20000000000000000,20510835169159908000000
0xc6525DBbc9AC18fBf9ec93C219670B0dBb6cF2D3,24000000000000000,24613002202991889600000
0x9aa82D0433cCef8Ec5F2b7c53Fd917D6b78A076A,85000000000000000,87171049468929610400000
0x4Faf0bA2e027D714194Fd612B71c60D680852322,35800000000000000,36714394952796236000000
0x15DD590AEDB68577c74Ed23413876Be45071C74a,25000000000000000,25638543961449885600000
0x4Ade4E108d7487cb69502C71eFeF20dC917cCb9b,36000000000000000,36919503304487835200000
0xA9AEf4160E09103255E3d00c412127e6f11eFa4D,300000000000000000,307662527537398623200000
0xB84679C7dDDF68940B37eaB71Cd2c175Fd1820F7,200000000000000000,205108351691599082400000
0x82709680795Cab91fF31C47169E349A6CB8B9F09,100000000000000000,102554175845799540800000
0x4e29320eCdFF6C04E6321cbF41A2EFc45F6DdC34,40000000000000000,41021670338319816800000
0x6A14893B47c323805f0DB542e304b84A7337b9ea,30000000000000000,30766252753739862400000
0x42a045bAC9c01d48b16618385d6AFd0dfEa3C29d,20000000000000000,20510835169159908000000
0x3C3C4Fd3B1c1708CcEa76Ae289D41270443051f7,70000000000000000,71787923092059679200000
0xD1A0B66835D830e9ada42eEf436f3AA8005b20B5,20000000000000000,20510835169159908000000
0xD4D821343Bfc2Bef120aC8b74719761501463d31,20000000000000000,20510835169159908000000
0x86f91AfEc74972533d1Dbda54A740DcE024Ebf07,30000000000000000,30766252753739862400000
0x321e1550CDd77003A302740B1D8Ded0910D3Ae4a,30000000000000000,30766252753739862400000
0x2646FD1cF53139c336DB689fF104C6cE3ba9b18B,25000000000000000,25638543961449885600000
0x7dfe4C7ae993e7ff429b5E9F2533D86aE834Bc39,22000000000000000,22561918686075899200000
0x1939ade25b842E150db90dfBA804aB3653091Aa2,77000000000000000,78966715401265646400000
0xeAE8A2d602fbB49967a82dfE9096564BCC38ae46,20000000000000000,20510835169159908000000
