From,Refund
0x61a1d40346bdedf611cd3c89916894c6f8b8d63e,90.22
0x658738bb7a47832745c842f53fc5afee64ea6666,89.772788649243
0xa1ecb5ec4f7b6de3b006059ed4061c730c5d8ee5,53.8636731895456
0x4a9e40d550676984c85888905c37eaa54e8d086e,224.431971623107
0xcddba4709cf6e918c4dfad11bf9ba3e6e0422bab,1,795.45577298485
0x10dfe5ed945fbb91b49ddd1810cf267420a8062d,448.863943246213
0xdec4788f8c2928ec4e3b5bbc8188428a7b5e1630,1,479.90442088277
0xd69088ecc6130eb83487e36239e56f439e0d8a42,0.51
0x3ecb74985008b53da1d13e403c37c42fb1e2c685,39.0511630624206
0xb361457b5389329b544436f57f607606101eac54,111.02
0x467ca1b38d4f70e8baec689d268c2840214a3407,44.8863943246213
0x65ba4f92d7dfa813ddbd849d9faf38a723dd9b12,223.98310767986
0x050eb9b2547303112e2de19d2268f0adf60e1196,224.431971623107
0xc9701806dfeb12af490b312b05e44b39c33eee6d,93.5
0xe673f5e474dbf76a1230fea52e8e58f4baca151c,1,122.15985811553
0xdc27361494e95f566409f379abd08813e73468eb,314.653624215596
0x1805fd1317cbf3926244d1f830adc86508c306f2,89.772788649243
0x3672841e0887272ba9f44f3b0f1e46f6bd786794,89.323924705996
0x0fe240a875d41949e10a3a9b35bff251bcccaa77,277.846780869406
0x4514b160c8190fa078a0bae62f76fa6e37c8ef7e,473.07
0x56e3b729bbc51f7f0f5fbc580c55051c02137b45,44.04
0xe627419af8e2c3a7f026c177b38e9d857a3d9825,114.909169471031
0xd0b8809579d83be1de9b655677b5278240688ba4,2.24431971623107
0xbc5d55c514c71cca5c27117f9aa1fc2030cbb0ef,25.136380821788
0x25e2a352478b83dc0de5d74bec53a8f13d4062b6,89.772788649243
0x40e30e32ac76d389e338cdc32ac4f3ae28366405,157.102380136175
0x52c18f6f4273aa8b45e746bfa5d5359d0ec6c1c8,127.926223825171
0x711e5bf65b17b331a50bde223a25366c9d9249c0,18.852285616341
0x367df380eb56a61bf31c7361317b4be650ca0d37,3.14204760272349
0x06d6f84a2016966a111326c8ff11f0bda648c41a,134.659182973864
0xe0091d2df7a59d5b2de74161e15c4f82ff168864,167.875114774084
0x2600846f4401ae10ca760604036a891bb896649e,3,005.87
0x553775b8b521bc9f337474e4c415000560c13deb,5.83523126220077
0xa2d35e418814a8b6367c66a5ac2fec8ea16332b2,89.772788649243
0x1939ade25b842e150db90dfba804ab3653091aa2,112.215985811553
0x33ddda054baf32c0bbceb56eba06a7a34ef659bd,67.329591486932
0x7ba69d3bd183a21164b0355e7cce292476b467fe,224.431971623107
0x1895a6b620d71dd351a6635a64beaa24636c929f,538.636731895456
